date,year,month,weekday,pref_code,pref_en,pref_ja,tmax_c,tmean_c,humidity_pct,transported,elderly,severe
2018-05-31,2018,5,Thu,40,Fukuoka,福岡県,22.9,19.8,86,2,1,0
2018-05-31,2018,5,Thu,47,Okinawa,沖縄県,29.2,27.2,89,5,2,0
2018-06-01,2018,6,Fri,1,Hokkaido,北海道,17.8,14.5,83,1,1,0
2018-06-01,2018,6,Fri,13,Tokyo,東京都,25.6,20.8,64,2,1,0
2018-06-01,2018,6,Fri,23,Aichi,愛知県,25.4,19.2,72,8,4,0
2018-06-01,2018,6,Fri,27,Osaka,大阪府,24.6,19.5,69,6,2,0
2018-06-01,2018,6,Fri,28,Hyogo,兵庫県,23.6,19.1,73,2,2,0
2018-06-01,2018,6,Fri,40,Fukuoka,福岡県,22.4,18.9,82,8,3,0
2018-06-01,2018,6,Fri,47,Okinawa,沖縄県,25.9,24.6,88,1,0,0
2018-06-02,2018,6,Sat,1,Hokkaido,北海道,20.1,15.2,80,2,0,0
2018-06-02,2018,6,Sat,13,Tokyo,東京都,25.6,20.6,75,9,2,0
2018-06-02,2018,6,Sat,23,Aichi,愛知県,25.6,19.9,73,7,4,0
2018-06-02,2018,6,Sat,27,Osaka,大阪府,25.1,19.2,72,5,5,0
2018-06-02,2018,6,Sat,28,Hyogo,兵庫県,24.7,19.7,73,12,6,1
2018-06-02,2018,6,Sat,40,Fukuoka,福岡県,25.9,21.0,66,16,7,1
2018-06-02,2018,6,Sat,47,Okinawa,沖縄県,26.8,24.4,78,1,0,0
2018-06-03,2018,6,Sun,1,Hokkaido,北海道,22.7,16.5,77,5,2,0
2018-06-03,2018,6,Sun,13,Tokyo,東京都,27.2,21.4,72,8,4,0
2018-06-03,2018,6,Sun,23,Aichi,愛知県,25.4,21.0,74,14,9,0
2018-06-03,2018,6,Sun,27,Osaka,大阪府,25.6,20.5,76,17,8,0
2018-06-03,2018,6,Sun,28,Hyogo,兵庫県,24.6,20.4,81,10,7,0
2018-06-03,2018,6,Sun,40,Fukuoka,福岡県,26.0,21.1,75,9,5,0
2018-06-03,2018,6,Sun,47,Okinawa,沖縄県,26.0,25.2,82,0,0,0
2018-06-04,2018,6,Mon,1,Hokkaido,北海道,25.0,18.1,75,27,18,1
2018-06-04,2018,6,Mon,13,Tokyo,東京都,27.6,22.0,69,8,2,1
2018-06-04,2018,6,Mon,23,Aichi,愛知県,26.2,22.0,69,15,11,0
2018-06-04,2018,6,Mon,27,Osaka,大阪府,26.5,21.1,76,11,3,0
2018-06-04,2018,6,Mon,28,Hyogo,兵庫県,25.7,21.3,81,10,8,0
2018-06-04,2018,6,Mon,40,Fukuoka,福岡県,26.0,21.5,67,7,2,0
2018-06-04,2018,6,Mon,47,Okinawa,沖縄県,28.7,26.2,88,4,1,0
2018-06-05,2018,6,Tue,1,Hokkaido,北海道,24.2,18.0,73,7,6,0
2018-06-05,2018,6,Tue,13,Tokyo,東京都,27.6,22.4,70,7,6,0
2018-06-05,2018,6,Tue,23,Aichi,愛知県,26.4,21.9,73,7,1,0
2018-06-05,2018,6,Tue,27,Osaka,大阪府,25.7,20.6,76,7,5,0
2018-06-05,2018,6,Tue,28,Hyogo,兵庫県,23.5,20.6,85,3,1,0
2018-06-05,2018,6,Tue,40,Fukuoka,福岡県,20.7,19.2,85,0,0,0
2018-06-05,2018,6,Tue,47,Okinawa,沖縄県,29.2,27.0,87,12,7,1
2018-06-06,2018,6,Wed,1,Hokkaido,北海道,26.3,19.4,73,13,9,2
2018-06-06,2018,6,Wed,13,Tokyo,東京都,22.6,20.1,80,1,1,0
2018-06-06,2018,6,Wed,23,Aichi,愛知県,20.6,19.8,88,0,0,0
2018-06-06,2018,6,Wed,27,Osaka,大阪府,20.4,19.6,86,1,1,0
2018-06-06,2018,6,Wed,28,Hyogo,兵庫県,20.2,19.3,90,2,1,0
2018-06-06,2018,6,Wed,40,Fukuoka,福岡県,21.0,19.4,89,2,2,0
2018-06-06,2018,6,Wed,47,Okinawa,沖縄県,29.4,27.2,90,8,4,0
2018-06-07,2018,6,Thu,1,Hokkaido,北海道,23.9,18.3,80,5,3,0
2018-06-07,2018,6,Thu,13,Tokyo,東京都,26.7,21.5,78,3,2,0
2018-06-07,2018,6,Thu,23,Aichi,愛知県,25.4,21.5,83,6,2,0
2018-06-07,2018,6,Thu,27,Osaka,大阪府,27.4,22.1,85,11,6,0
2018-06-07,2018,6,Thu,28,Hyogo,兵庫県,24.6,21.4,89,13,4,0
2018-06-07,2018,6,Thu,40,Fukuoka,福岡県,25.5,21.5,86,8,4,0
2018-06-07,2018,6,Thu,47,Okinawa,沖縄県,29.6,27.7,89,13,4,0
2018-06-08,2018,6,Fri,1,Hokkaido,北海道,16.1,14.3,95,0,0,0
2018-06-08,2018,6,Fri,13,Tokyo,東京都,26.4,23.1,79,10,4,0
2018-06-08,2018,6,Fri,23,Aichi,愛知県,26.5,21.9,85,0,0,0
2018-06-08,2018,6,Fri,27,Osaka,大阪府,26.0,22.7,89,3,1,0
2018-06-08,2018,6,Fri,28,Hyogo,兵庫県,23.6,21.7,95,3,1,0
2018-06-08,2018,6,Fri,40,Fukuoka,福岡県,26.3,22.8,91,3,2,0
2018-06-08,2018,6,Fri,47,Okinawa,沖縄県,29.4,27.5,87,8,5,0
2018-06-09,2018,6,Sat,1,Hokkaido,北海道,13.2,11.1,81,0,0,0
2018-06-09,2018,6,Sat,13,Tokyo,東京都,29.9,24.8,78,37,15,1
2018-06-09,2018,6,Sat,23,Aichi,愛知県,28.2,23.0,78,15,7,0
2018-06-09,2018,6,Sat,27,Osaka,大阪府,28.4,23.3,75,9,4,0
2018-06-09,2018,6,Sat,28,Hyogo,兵庫県,26.4,22.6,79,5,1,0
2018-06-09,2018,6,Sat,40,Fukuoka,福岡県,24.8,21.7,89,26,9,0
2018-06-09,2018,6,Sat,47,Okinawa,沖縄県,29.6,27.8,87,6,1,0
2018-06-10,2018,6,Sun,1,Hokkaido,北海道,15.7,10.7,73,1,0,0
2018-06-10,2018,6,Sun,13,Tokyo,東京都,22.3,20.7,87,1,1,0
2018-06-10,2018,6,Sun,23,Aichi,愛知県,23.5,20.4,88,2,1,0
2018-06-10,2018,6,Sun,27,Osaka,大阪府,26.0,21.2,81,1,0,0
2018-06-10,2018,6,Sun,28,Hyogo,兵庫県,24.4,20.9,83,3,2,0
2018-06-10,2018,6,Sun,40,Fukuoka,福岡県,25.2,21.9,85,5,1,0
2018-06-10,2018,6,Sun,47,Okinawa,沖縄県,28.6,27.4,88,5,2,0
2018-06-11,2018,6,Mon,1,Hokkaido,北海道,15.6,13.1,78,0,0,0
2018-06-11,2018,6,Mon,13,Tokyo,東京都,21.9,20.1,91,2,1,0
2018-06-11,2018,6,Mon,23,Aichi,愛知県,26.6,22.9,84,1,0,0
2018-06-11,2018,6,Mon,27,Osaka,大阪府,28.1,23.7,78,2,2,0
2018-06-11,2018,6,Mon,28,Hyogo,兵庫県,27.0,23.2,82,3,1,0
2018-06-11,2018,6,Mon,40,Fukuoka,福岡県,22.2,20.2,92,1,1,0
2018-06-11,2018,6,Mon,47,Okinawa,沖縄県,28.0,26.5,91,1,1,0
2018-06-12,2018,6,Tue,1,Hokkaido,北海道,12.4,10.9,89,1,1,0
2018-06-12,2018,6,Tue,13,Tokyo,東京都,25.7,21.1,87,7,4,0
2018-06-12,2018,6,Tue,23,Aichi,愛知県,26.4,22.0,75,2,1,0
2018-06-12,2018,6,Tue,27,Osaka,大阪府,24.5,21.6,77,0,0,0
2018-06-12,2018,6,Tue,28,Hyogo,兵庫県,23.6,20.7,83,0,0,0
2018-06-12,2018,6,Tue,40,Fukuoka,福岡県,21.0,19.0,85,0,0,0
2018-06-12,2018,6,Tue,47,Okinawa,沖縄県,27.5,25.7,73,3,1,0
2018-06-13,2018,6,Wed,1,Hokkaido,北海道,10.8,9.3,90,0,0,0
2018-06-13,2018,6,Wed,13,Tokyo,東京都,25.9,21.1,79,3,1,0
2018-06-13,2018,6,Wed,23,Aichi,愛知県,26.6,21.0,68,6,3,0
2018-06-13,2018,6,Wed,27,Osaka,大阪府,24.9,20.3,71,2,1,0
2018-06-13,2018,6,Wed,28,Hyogo,兵庫県,24.1,19.8,75,1,1,0
